Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765661806,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765661807,20,,Aggregated,0.000000,0.000000,820,830,870,950,960,960,960,960,960,960,960,10,0,770.0,758.4635199978948,563.7185999948997,960.1599000161514,96.3
1765661809,40,,Aggregated,0.000000,0.000000,830,950,970,1200,1200,1300,1500,1500,1500,1500,1500,38,0,830.0,842.1888052635998,268.3839999954216,1525.5557000054978,96.15789473684211
1765661810,60,,Aggregated,0.000000,0.000000,790,920,960,1000,1200,1200,1500,2100,2100,2100,2100,62,0,780.0,781.0283596777628,191.43380000605248,2126.6831000102684,96.09677419354838
1765661811,80,,Aggregated,12.666667,0.000000,780,950,1000,1100,1200,1300,1800,1800,2100,2100,2100,112,0,770.0,761.1734508926539,172.21669998252764,2126.6831000102684,87.70535714285714
1765661812,120,,Aggregated,15.500000,0.000000,680,920,1000,1200,1200,1600,1800,2300,2300,2300,2300,163,0,680.0,724.0239079747752,169.53669997747056,2287.976699997671,77.8159509202454
1765661813,140,,Aggregated,22.200000,0.000000,740,960,1200,1200,1500,1800,2100,2300,2600,2600,2600,206,0,730.0,792.590434950504,168.37450000457466,2573.5825000156183,76.8883495145631
1765661814,160,,Aggregated,26.833333,0.000000,650,960,1200,1300,1700,2100,2400,3700,3900,3900,3900,274,0,650.0,818.9996244513513,168.37450000457466,3929.9109000130557,70.81386861313868
1765661815,180,,Aggregated,29.000000,0.000000,690,1100,1200,1400,1800,2200,2400,3100,3900,3900,3900,347,0,690.0,864.8069757912496,151.53609999106266,3929.9109000130557,81.2420749279539
1765661816,200,,Aggregated,33.750000,0.000000,740,1100,1300,1400,1800,2200,2600,3100,3900,3900,3900,392,0,740.0,886.8702727030518,151.53609999106266,3929.9109000130557,86.52295918367346
1765661817,220,,Aggregated,33.750000,0.000000,820,1100,1300,1500,1900,2200,2800,2900,3900,3900,3900,440,0,800.0,921.9007261355397,151.53609999106266,3929.9109000130557,89.075
1765661818,240,,Aggregated,39.100000,0.000000,850,1200,1500,1700,2100,2400,2900,3100,3900,3900,3900,500,0,850.0,993.7146053993492,150.33879998372868,3929.9109000130557,106.298
1765661819,260,,Aggregated,44.000000,0.000000,870,1200,1600,1800,2300,2900,3700,3800,4500,4500,4500,555,0,870.0,1095.1233893685853,150.33879998372868,4510.5597999936435,112.16936936936936
1765661820,280,,Aggregated,44.000000,0.000000,1000,1500,1900,2100,2900,3600,4000,4200,4500,4500,4500,653,69,1000.0,1276.5700539046682,150.33879998372868,4510.5597999936435,116.51914241960183
1765661821,300,,Aggregated,51.300000,0.000000,1200,1800,2200,2400,3600,4000,4300,4300,4800,4800,4800,728,69,1200.0,1487.3106328293663,150.33879998372868,4789.649399986956,112.23626373626374
1765661822,300,,Aggregated,59.100000,6.900000,1200,1700,2100,2300,3400,3900,4200,4300,4800,4800,4800,837,69,1200.0,1456.0476767023779,150.33879998372868,4789.649399986956,111.51135005973715
1765661823,300,,Aggregated,60.900000,6.900000,1200,1700,2100,2300,3300,3900,4200,4300,4800,4800,4800,887,69,1200.0,1424.7384413753218,150.06549999816343,4789.649399986956,115.9966178128523
1765661824,300,,Aggregated,67.300000,6.900000,1100,1600,2100,2300,3400,3800,4200,4300,4800,4800,4800,944,69,1100.0,1399.202670338867,150.06549999816343,4789.649399986956,116.59322033898304
1765661825,300,,Aggregated,68.300000,6.900000,1000,1400,2000,2200,3300,3800,4100,4300,4600,4800,4800,1058,69,1000.0,1342.5320483931366,149.70380000886507,4789.649399986956,128.12003780718337
1765661826,300,,Aggregated,67.000000,6.900000,960,1300,1900,2100,3200,3800,4100,4300,4600,4800,4800,1131,69,960.0,1277.0015733863827,148.90520001063123,4789.649399986956,143.22723253757738
1765661827,300,,Aggregated,69.100000,6.900000,940,1300,2000,2200,3500,4100,4800,5800,7600,7600,7600,1242,69,940.0,1360.0486793880148,148.90520001063123,7604.996499983827,159.46376811594203
1765661828,300,,Aggregated,73.300000,6.900000,900,1300,2000,2300,3500,4200,5800,6600,7700,7700,7700,1328,69,900.0,1369.887336972849,148.90520001063123,7712.268200004473,162.37198795180723
1765661829,300,,Aggregated,79.700000,6.900000,870,1300,2000,2200,3500,4200,5800,6600,7700,7700,7700,1375,69,870.0,1347.8933621090202,148.90520001063123,7712.268200004473,159.48072727272728
1765661830,300,,Aggregated,82.000000,6.900000,860,1300,1900,2200,3500,4300,5800,6600,7700,7700,7700,1424,69,860.0,1336.4392114465395,148.90520001063123,7712.268200004473,163.1376404494382
1765661831,300,,Aggregated,81.100000,6.900000,830,1300,2000,2300,3500,4200,5800,6600,7700,7700,7700,1485,69,830.0,1322.040750370447,148.90520001063123,7712.268200004473,161.4835016835017
1765661832,300,,Aggregated,76.800000,0.000000,820,1300,2000,2300,3400,4200,5800,6600,7700,7700,7700,1523,69,820.0,1312.7288217335083,148.90520001063123,7712.268200004473,161.60866710439922
1765661833,300,,Aggregated,76.200000,0.000000,820,1300,1900,2300,3400,4200,5800,6600,7700,7700,7700,1566,69,820.0,1308.5718568328068,148.90520001063123,7712.268200004473,159.85568326947637
1765661834,300,,Aggregated,68.600000,0.000000,800,1300,1800,2200,3300,4200,5800,6600,7700,7700,7700,1645,69,800.0,1283.9591669301772,148.90520001063123,7712.268200004473,168.01580547112462
1765661835,300,,Aggregated,67.900000,0.000000,780,1200,1800,2200,3400,4300,5800,6700,7700,7800,7800,1684,69,770.0,1293.636512945516,148.90520001063123,7754.412000009324,168.68586698337293
1765661836,300,,Aggregated,70.200000,0.000000,740,1200,1700,2100,3300,4300,5800,6700,7700,7800,7800,1737,69,740.0,1266.8177324698088,148.90520001063123,7754.412000009324,170.66551525618883
1765661837,300,,Aggregated,64.700000,0.000000,720,1200,1700,2100,3300,4300,5800,6700,9200,11000,11000,1767,69,720.0,1263.686306564795,148.90520001063123,11291.421899979468,173.94284097340125
1765661838,300,,Aggregated,60.000000,0.000000,700,1200,1700,2100,3300,4300,5800,6700,9200,11000,11000,1807,69,700.0,1248.186907360152,148.90520001063123,11291.421899979468,178.06308799114555
